Lambda,First arrive first go,,Dynamic Programming
,Tlast,,Tdelay
1,379.078,1.059,379.078,18.989
2,189.125,12.058,189.125,3.351
3,156.116,25.938,124.692,5.07
4,163.683,37.147,105.573,8.44
5,153.488,54.614,101.439,19.5
W same,First arrive first go,,Dynamic Programming
,Tlast,,Tdelay
1.0,153.488,54.614,101.439,19.5
1.2,172.088,63.414,116.658,26.243
1.4,182.688,67.538,132.639,33.971
1.6,196.088,72.667,149.239,41.931
1.8,208.688,79.254,165.839,49.776
2.0,212.488,79.058,182.439,56.961
2.2,223.488,82.241,199.039,65.037
2.4,232.088,85.16,215.888,73.267
2.6,245.488,90.534,233.088,81.716
2.8,257.462,95.386,250.428,90.376
3.0,267.862,98.984,267.862,98.984
N,First arrive first go,,Dynamic Programming
,Tlast,,Tdelay
20,107.056,35.148,67.716,11.432
40,208.293,77.951,129.199,25.99
60,310.241,115.491,189.563,36.881
80,438.582,174.399,250.545,51.029
100,564.143,211.793,310.755,51.379
